# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
12.2285486; 5.1684699; 0.9891006; 1.0108994; 0.7006136; -0.7135409; 0.3551518; 10.9031206; -0.9049775; 0.1221935; 3.9416701; 1.5473897
12.4596079; 5.3949176; 0.9689591; 1.0310409; 0.6995352; -0.7145981; 0.3879037; 11.2277645; -0.8816526; 0.1111177; 4.0193721; 1.6466594
12.6927570; 5.6231891; 0.9487311; 1.0512689; 0.6998565; -0.7142835; 0.4091602; 11.5549444; -0.8417005; 0.0890383; 4.1829444; 1.8097775
12.9271117; 5.8532519; 0.9285010; 1.0714990; 0.7014408; -0.7127277; 0.4211505; 11.8845032; -0.8248903; 0.0793166; 4.2685484; 1.8795700
13.1617879; 6.0850729; 0.9097443; 1.0902557; 0.7042973; -0.7099052; 0.4259936; 12.2161168; -0.7966185; 0.0626956; 4.4440815; 2.0106558
13.3959014; 6.3186196; 0.8924189; 1.1075811; 0.7084065; -0.7058046; 0.4255893; 12.5492798; -0.7738985; 0.0517941; 4.6231493; 2.0787309
13.6285682; 6.5538592; 0.8764654; 1.1235346; 0.7137664; -0.7003838; 0.4215010; 12.8834016; -0.7638372; 0.0489149; 4.7121659; 2.0782418
13.8589042; 6.7907588; 0.8648225; 1.1351775; 0.7203784; -0.6935813; 0.4148225; 13.2178558; -0.7444888; 0.0492475; 4.8854604; 1.9827692
14.0860252; 7.0292858; 0.8560637; 1.1439363; 0.7282495; -0.6853121; 0.4060636; 13.5520207; -0.7236672; 0.0562311; 5.0134752; -2.0180780
14.3090472; 7.2694073; 0.8501860; 1.1498140; 0.7373896; -0.6754677; 0.3952305; 13.8852978; -0.7115349; 0.0651692; 4.9323607; -2.1865912
14.5270859; 7.5110907; 0.8511681; 1.1488319; 0.7478097; -0.6639131; 0.3815432; 14.2171322; -0.6814616; 0.0860346; 4.7462192; -2.1802160
14.7392573; 7.7543030; 0.8566972; 1.1433028; 0.7595188; -0.6504854; 0.3639299; 14.5470056; -0.6429675; 0.1064621; 4.5622024; -1.9967256
14.9446773; 7.9990116; 0.8664841; 1.1335159; 0.7725203; -0.6349901; 0.3414769; 14.8744231; -0.6206866; 0.1164611; 4.4738657; -1.9214599
15.1424618; 8.2451838; 0.8861962; 1.1138038; 0.7868058; -0.6172007; 0.3134645; 15.1989064; -0.5701324; 0.1367191; 4.3016713; -1.7619771
15.3317267; 8.4927866; 0.9107928; 1.0892072; 0.8023528; -0.5968501; 0.2793397; 15.5199897; -0.5112699; 0.1578006; 4.1378217; -1.6135213
15.5115877; 8.7417874; 0.9436677; 1.0563323; 0.8191007; -0.5736498; 0.2386817; 15.8372071; -0.4786545; 0.1688618; 4.0591309; -1.5197506
15.6811609; 8.9921535; 0.9873034; 1.0126966; 0.8369935; -0.5472128; 0.1912068; 16.1501042; -0.4065302; 0.1916583; 3.9098864; -1.3615442
15.8395621; 9.2438520; 1.0363910; 0.9636090; 0.8557758; -0.5173468; 0.1368709; 16.4581445; -0.3674162; 0.1995668; 3.8396507; -1.2826485
15.9857295; 9.4968121; 1.1019829; 0.8980171; 0.8763141; -0.4817402; 0.0762282; 16.7608199; -0.2828610; 0.2254935; 3.7069380; -1.1445002
16.1173610; 9.7506982; 1.1796628; 0.8203372; 0.8995694; -0.4367778; 0.0109703; 17.0562946; -0.2366088; 0.2373745; 3.6447031; -1.1018714
16.2316253; 10.0050611; 1.2716826; 0.7283174; 0.9248560; -0.3803175; -0.0558490; 17.3416654; -0.1382118; 0.2511318; 3.5231506; -1.0768635
16.3256895; 10.2594517; 1.3324426; 0.6675574; 0.9506094; -0.3103898; -0.1200161; 17.6139631; -0.0884000; 0.2490417; 3.4615171; -1.1391099
16.3967204; 10.5134204; 1.3675435; 0.6324565; 0.9743569; -0.2250079; -0.1765756; 17.8707857; -0.0389553; 0.2417634; 3.3951034; -0.5647426
16.4418850; 10.7665181; 1.3293491; 0.6706509; 0.9924134; -0.1229456; -0.2206509; 18.1113148; 0.0478498; 0.1813260; 3.3523124; -0.1270069
16.4583502; 11.0182954; 1.2468113; 0.7531887; 0.9999894; -0.0046083; -0.2474984; 18.3374404; 0.0790204; 0.1369991; 3.3447311; -0.1129093
16.4432829; 11.2683029; 1.1307297; 0.8692703; 0.9919635; 0.1265242; -0.2532312; 18.5550854; 0.1039036; 0.1288004; 3.3379768; -0.1343102
16.3938501; 11.5160913; 1.0449169; 0.9550831; 0.9643247; 0.2647221; -0.2354475; 18.7740614; 0.1373754; 0.1997664; 3.3299244; -0.2347035
16.3078319; 11.7612578; 0.9692876; 1.0307124; 0.9201045; 0.3916729; -0.1940055; 19.0086118; 0.1834653; 0.2521008; 3.3158063; 0.0260758
16.1875456; 12.0037435; 0.9476503; 1.0523497; 0.8710661; 0.4911658; -0.1328627; 19.2683298; 0.2360405; 0.2782101; 3.3173778; 0.5854227
16.0373437; 12.2436439; 0.9382807; 1.0617193; 0.8246305; 0.5656718; -0.0596157; 19.5524279; 0.3466218; 0.2602193; 3.4121829; 1.3094989
15.8615881; 12.4810551; 0.9591142; 1.0408858; 0.7838966; 0.6208914; 0.0191387; 19.8567201; 0.3956437; 0.2337381; 3.4880483; 1.3277161
15.6646410; 12.7160735; 0.9966389; 1.0033611; 0.7502358; 0.6611704; 0.0985828; 20.1764164; 0.4818995; 0.1995648; 3.6379872; 1.2836552
15.4508642; 12.9487950; 1.0473226; 0.9526774; 0.7238838; 0.6899219; 0.1744154; 20.5065410; 0.5554977; 0.1700897; 3.7764253; 1.2716522
15.2246199; 13.1793160; 1.0857163; 0.9142837; 0.7046788; 0.7095264; 0.2432112; 20.8423686; 0.5881049; 0.1565249; 3.8431428; 1.2946354
14.9902701; 13.4077326; 1.0902927; 0.9097073; 0.6924389; 0.7214766; 0.3026729; 21.1795560; 0.6447920; 0.1270519; 3.9767519; 1.3844611
14.7521762; 13.6341410; 1.0618061; 0.9381939; 0.6867954; 0.7268508; 0.3516187; 21.5142462; 0.6898981; 0.1028045; 4.1158687; 1.4979644
14.5137241; 13.8585865; 1.0361865; 0.9638135; 0.6838545; 0.7296184; 0.3900467; 21.8454679; 0.7103515; 0.1017360; 4.1879834; 1.5688693
14.2753297; 14.0809592; 1.0118207; 0.9881793; 0.6802884; 0.7329446; 0.4189282; 22.1747329; 0.7488859; 0.0900360; 4.3374498; 1.7007200
14.0368459; 14.3011200; 0.9888329; 1.0111671; 0.6762502; 0.7366720; 0.4396237; 22.5023279; 0.7827040; 0.0792063; 4.4935805; 1.8034186
13.7981254; 14.5189300; 0.9686992; 1.0313008; 0.6716824; 0.7408393; 0.4534572; 22.8285460; 0.7980283; 0.0741521; 4.5730957; 1.8508165
13.5590211; 14.7342498; 0.9502846; 1.0497154; 0.6665830; 0.7454308; 0.4615954; 23.1535610; 0.8259945; 0.0661567; 4.7335991; 1.9103814
13.3193860; 14.9469404; 0.9338921; 1.0661079; 0.6609344; 0.7504437; 0.4650028; 23.4774934; 0.8389587; 0.0635185; 4.8135911; 1.9162830
13.0790728; 15.1568627; 0.9210713; 1.0789287; 0.6547225; 0.7558693; 0.4643938; 23.8004210; 0.8637006; 0.0609055; 4.9705433; 1.8614326
12.8379344; 15.3638775; 0.9101809; 1.0898191; 0.6479316; 0.7616985; 0.4601809; 24.1224003; 0.8884735; 0.0636440; 5.1167582; 1.7367199
12.5958238; 15.5678458; 0.9024440; 1.0975560; 0.6405461; 0.7679198; 0.4524440; 24.4434817; 0.9014909; 0.0666142; 5.1841576; 1.5884818
12.3525936; 15.7686283; 0.8984993; 1.1015007; 0.6325502; 0.7745194; 0.4409691; 24.7637207; 0.9297089; 0.0747374; 5.3007543; 0.9274828
12.1080969; 15.9660860; 0.8968772; 1.1031228; 0.6239283; 0.7814816; 0.4253940; 25.0831821; 0.9449036; 0.0772603; 5.3356133; -0.6475716
11.8621864; 16.1600798; 0.8996665; 1.1003335; 0.6146651; 0.7887882; 0.4054322; 25.4019350; 0.9775579; 0.0873798; 5.2300338; -1.9993970
11.6147150; 16.3504705; 0.9062941; 1.0937059; 0.6047459; 0.7964185; 0.3804661; 25.7200787; 1.0151003; 0.1000502; 5.0778693; -1.8227382
11.3655355; 16.5371190; 0.9153970; 1.0846030; 0.5941567; 0.8043493; 0.3497533; 26.0377420; 1.0355953; 0.1050280; 5.0056062; -1.7393595
11.1145009; 16.7198861; 0.9310096; 1.0689904; 0.5828857; 0.8125541; 0.3127183; 26.3550614; 1.0794470; 0.1142385; 4.8668847; -1.6172575
10.8614639; 16.8986328; 0.9496561; 1.0503439; 0.5709189; 0.8210065; 0.2688755; 26.6721858; 1.1027072; 0.1184892; 4.8000050; -1.5719583
10.6062775; 17.0732200; 0.9724546; 1.0275454; 0.5582581; 0.8296673; 0.2177862; 26.9892723; 1.1516774; 0.1264426; 4.6689423; -1.4773173
10.3487945; 17.2435084; 1.0021648; 0.9978352; 0.5448550; 0.8385303; 0.1591630; 27.3064819; 1.2021423; 0.1295568; 4.5422062; -1.4022604
10.0889364; 17.4087624; 1.0357739; 0.9642261; 0.5270000; 0.8498653; 0.0933585; 27.6239722; 1.2292713; 0.1421823; 4.4800743; -1.3601362
9.8268788; 17.5660369; 1.0783204; 0.9216796; 0.5006021; 0.8656775; 0.0219291; 27.9395344; 1.2900157; 0.1609457; 4.3583548; -1.2958203
9.5628563; 17.7118752; 1.1214452; 0.8785548; 0.4645256; 0.8855597; -0.0523821; 28.2495281; 1.3229056; 0.1684471; 4.2985156; -1.2678591
9.2971033; 17.8428209; 1.1615178; 0.8384822; 0.4171701; 0.9088284; -0.1259810; 28.5501792; 1.3928547; 0.1805330; 4.1800761; -1.2207549
9.0298545; 17.9554174; 1.1428666; 0.8571334; 0.3566179; 0.9342503; -0.1946228; 28.8378942; 1.4290812; 0.1817382; 4.1212891; -1.2050737
8.7613443; 18.0462082; 1.1375890; 0.8624110; 0.2808387; 0.9597550; -0.2536702; 29.1098331; 1.5002881; 0.1698074; 4.0033033; -1.1849908
8.4918072; 18.1117367; 1.1521483; 0.8478517; 0.1882296; 0.9821251; -0.2985712; 29.3648358; 1.5324053; 0.1532857; 3.9436941; -1.1871381
8.2214778; 18.1485463; 1.1852578; 0.8147422; 0.0783960; 0.9969223; -0.3254875; 29.6045591; 1.5619785; 0.1405867; 3.8830593; -0.4436881
7.9505905; 18.1531806; 1.2179123; 0.7820877; -0.0463993; 0.9989230; -0.3320877; 29.8345476; 1.5918351; 0.1597271; 3.8601528; -0.3423702
7.6794972; 18.1232913; 1.1878973; 0.8121027; -0.1696589; 0.9855028; -0.3177733; 30.0674266; 1.6244557; 0.1670473; 3.8423838; -0.3207551
7.4090144; 18.0609228; 1.1310745; 0.8689255; -0.2762205; 0.9610943; -0.2839274; 30.3144054; 1.6959746; 0.1989143; 3.8105739; -0.2494430
7.1400739; 17.9692075; 1.0420867; 0.9579133; -0.3659899; 0.9306188; -0.2339641; 30.5787178; 1.7377353; 0.2145063; 3.7974670; -0.1557616
6.8736074; 17.8512780; 0.9811585; 1.0188415; -0.4405122; 0.8977466; -0.1725107; 30.8603021; 1.7808552; 0.2205823; 3.7892596; -0.0714145
6.6105468; 17.7102667; 0.9318732; 1.0681268; -0.5019682; 0.8648861; -0.1044732; 31.1570000; 1.8698385; 0.2208917; 3.7856853; 0.1514939
6.3518237; 17.5493062; 0.9097884; 1.0902116; -0.5525874; 0.8334549; -0.0343443; 31.4656336; 1.9131663; 0.2147957; 3.7936757; 0.2482456
6.0983699; 17.3715288; 0.9004836; 1.0995164; -0.5943572; 0.8042011; 0.0342341; 31.7827256; 1.9966297; 0.2015482; 3.8234837; 0.4581374
5.8511172; 17.1800672; 0.9036082; 1.0963918; -0.6289384; 0.7774551; 0.0986053; 32.1048555; 2.0734301; 0.1831853; 3.8733325; 0.5698544
5.6109972; 16.9780537; 0.9250385; 1.0749615; -0.6576583; 0.7533164; 0.1570572; 32.4287799; 2.1090554; 0.1736020; 3.9026287; 0.6347625
5.3787793; 16.7681697; 0.9536455; 1.0463545; -0.6831525; 0.7302757; 0.2088104; 32.7522831; 2.1775020; 0.1698935; 3.9687976; 0.7276658
5.1545328; 16.5511540; 0.9941071; 1.0058929; -0.7074420; 0.7067714; 0.2538593; 33.0753567; 2.2111174; 0.1664492; 4.0052775; 0.7602235
4.9381391; 16.3272228; 1.0467151; 0.9532849; -0.7305028; 0.6829097; 0.2925618; 33.3981880; 2.2762539; 0.1593571; 4.0819575; 0.8309375
4.7294791; 16.0965920; 1.1025224; 0.8974776; -0.7523172; 0.6588011; 0.3253252; 33.7209456; 2.3385581; 0.1524515; 4.1633302; 0.8679273
4.5284342; 15.8594779; 1.1491504; 0.8508496; -0.7728822; 0.6345495; 0.3525099; 34.0437720; 2.3687095; 0.1492549; 4.2047929; 0.8713045
4.3348855; 15.6160965; 1.1231509; 0.8768491; -0.7922063; 0.6102534; 0.3744012; 34.3667851; 2.4272400; 0.1437514; 4.2869919; 0.8455382
4.1487141; 15.3666640; 1.0467512; 0.9532488; -0.8103080; 0.5860042; 0.3911824; 34.6900812; 2.4839027; 0.1400303; 4.3638564; 0.7806068
3.9698013; 15.1113965; 0.9438151; 1.0561849; -0.8272150; 0.5618855; 0.4029110; 35.0137382; 2.5117697; 0.1387897; 4.3994659; 0.6857056
